segment_id,event_id,event_start,event_end,event_context,event_context_confidence,segment_length_meters,road_name,highway,osm_way_ids,u,v,key,buffer_radius_meters,minimum_clear_fraction,positive_exposure_fraction,source_resolution_class,corridor_area_square_meters,source_coverage_fraction,valid_observation_fraction,permanent_water_fraction,flood_exposed_fraction,flood_exposed_length_equivalent_meters,label,confidence,exclusion_reason
osm-10082667802-6330562646-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,54.409,Jalan Denpasar Raya,tertiary,28194353,10082667802,6330562646,0,250,0.75,0.05,coarse-modis-250m,223299.983,0.965127,0.965127,0.0,0.0,0.0,negative,moderate,
osm-10090012698-9015877330-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,40.036,Jalan Denpasar Raya,tertiary,28194353,10090012698,9015877330,0,250,0.75,0.05,coarse-modis-250m,216108.752,0.964111,0.964111,0.0,0.0,0.0,negative,moderate,
osm-10090309233-7570445358-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,1.591,Jalan Profesor Doktor Satrio,primary,454203124,10090309233,7570445358,0,250,0.75,0.05,coarse-modis-250m,196873.964,0.786139,0.786139,0.0,0.0,0.0,unknown,excluded,insufficient_source_coverage
osm-10090309238-4507989466-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,96.419,Jalan Profesor Doktor Satrio,primary,454203124,10090309238,4507989466,0,250,0.75,0.05,coarse-modis-250m,244315.742,0.768951,0.768951,0.0,0.0,0.0,unknown,excluded,insufficient_source_coverage
osm-10092530702-2589977444-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,63.439,Jalan Profesor Doktor Satrio,primary,685545461,10092530702,2589977444,0,250,0.75,0.05,coarse-modis-250m,227816.328,0.227225,0.227225,0.0,0.0,0.0,unknown,excluded,insufficient_source_coverage
osm-10098494032-6366750161-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,158.564,Jalan Letnan Jenderal Siswondo Parman,trunk,688087394,10098494032,6366750161,0,250,0.75,0.05,coarse-modis-250m,275409.701,0.970769,0.970769,0.0,0.0,0.0,negative,moderate,
osm-10132911307-2589974180-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,32.775,Jalan Karet Pedurenan Raya,tertiary,28132208,10132911307,2589974180,0,250,0.75,0.05,coarse-modis-250m,212476.046,0.963716,0.963716,0.0,0.0,0.0,negative,moderate,
osm-103363767-1757800816-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,28.666,Jalan Letnan Jenderal Siswondo Parman,trunk,688089186,103363767,1757800816,0,250,0.75,0.05,coarse-modis-250m,210420.052,0.963231,0.963231,0.0,0.0,0.0,negative,moderate,
osm-104356356-13456652649-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,73.169,Jalan Letnan Jenderal Siswondo Parman,trunk,560008548,104356356,13456652649,0,250,0.75,0.05,coarse-modis-250m,232685.53,0.966259,0.966259,0.0,0.0,0.0,negative,moderate,
osm-104356359-9491482902-0,DFO_3251_From_20080102_to_20080106,2008-01-02,2008-01-06,pilot_centroid,moderate,30.169,Jalan Letnan Jenderal Siswondo Parman,trunk,560008548,104356359,9491482902,0,250,0.75,0.05,coarse-modis-250m,211172.305,0.963368,0.963368,0.0,0.0,0.0,negative,moderate,
