segment_id,event_id,role,segment_length_meters,highway,valid_coverage_fraction,permanent_water_fraction,flood_fraction,inundated_length_meters,vv_delta_db,vh_delta_db,label,confidence,exclusion_reason
osm-29938988-6552109327-0,jakarta-20200101,train,39.851,primary,1.0,0.0,0.0,0.0,-0.203093,0.324797,negative,medium,
osm-29939141-8500012435-0,jakarta-20200101,train,58.856,secondary,1.0,0.0,0.0,0.0,1.236181,-0.673008,negative,medium,
osm-29939142-2032872437-0,jakarta-20200101,train,86.317,secondary,1.0,0.0,0.0,0.0,1.743786,-0.440407,negative,medium,
osm-29939143-5674017477-0,jakarta-20200101,train,11.596,secondary,1.0,0.0,0.0,0.0,-0.212384,-0.836853,negative,medium,
osm-29939144-9013899871-0,jakarta-20200101,train,72.513,secondary,1.0,0.0,0.0,0.0,-0.065091,0.504945,negative,medium,
osm-29939146-1173954328-0,jakarta-20200101,train,25.539,secondary,1.0,0.0,0.0,0.0,1.170796,-0.247235,negative,medium,
osm-29939148-1173954346-0,jakarta-20200101,train,12.054,secondary,1.0,0.0,0.0,0.0,0.293953,0.472748,negative,medium,
osm-29939154-7120383659-0,jakarta-20200101,train,7.532,primary,1.0,0.0,0.0,0.0,-1.566418,-1.358238,negative,medium,
osm-29939156-318538221-0,jakarta-20200101,train,217.601,secondary,1.0,0.0,0.0,0.0,1.277953,-1.275927,negative,medium,
osm-29939156-2363808979-0,jakarta-20200101,train,11.495,primary,1.0,0.0,0.0,0.0,1.965218,-0.996987,negative,medium,
osm-29939211-7120318185-0,jakarta-20200101,train,26.654,primary,1.0,0.0,0.0,0.0,3.060101,-0.586166,negative,medium,
osm-95006360-5492419263-0,jakarta-20200101,train,60.513,trunk,1.0,0.0,0.0,0.0,1.081188,0.714374,negative,medium,
osm-95006366-5492419187-0,jakarta-20200101,train,46.314,trunk,1.0,0.0,0.0,0.0,2.326801,-0.828108,negative,medium,
osm-95010735-1133343805-0,jakarta-20200101,train,84.617,trunk,1.0,0.0,0.0,0.0,0.811294,1.343133,negative,medium,
osm-95010751-13798957263-0,jakarta-20200101,train,93.771,trunk,1.0,0.0,0.0,0.0,2.387952,-0.605041,negative,medium,
osm-95022384-95022385-0,jakarta-20200101,train,66.282,trunk,1.0,0.0,0.0,0.0,-0.546658,-0.41378,negative,medium,
osm-95022385-4152867689-0,jakarta-20200101,train,78.712,trunk,1.0,0.0,0.0,0.0,-0.290143,0.061993,negative,medium,
osm-95022385-5652800252-0,jakarta-20200101,train,59.872,primary,1.0,0.0,0.0,0.0,0.240174,0.009756,negative,medium,
osm-103363767-1757800816-0,jakarta-20200101,train,28.666,trunk,1.0,0.0,0.0,0.0,-1.712901,-1.329715,negative,medium,
osm-104356356-13456652649-0,jakarta-20200101,train,73.169,trunk,1.0,0.0,0.0,0.0,-0.223698,-0.302282,negative,medium,
