segment_id,road_type,length_km,travel_time_minutes,rainfall_mm,hazard_score,elevation_meters,historical_flood_exposure,drainage_pressure,is_disrupted
syn-road-0000,secondary,11.54,23.3,132.7,0.74,3.3,0.68,0.77,1
syn-road-0001,local,4.21,14.2,220.8,0.55,15.0,0.54,0.59,1
syn-road-0002,arterial,5.65,6.1,96.1,0.61,3.2,0.56,0.54,1
syn-road-0003,secondary,9.86,23.4,248.1,0.59,6.9,0.16,0.94,0
syn-road-0004,arterial,9.67,14.6,76.7,0.43,6.9,0.1,0.48,0
syn-road-0005,local,1.34,5.5,112.7,0.7,3.7,0.56,0.76,0
syn-road-0006,secondary,8.16,16.8,50.7,0.25,17.6,0.58,0.18,0
syn-road-0007,arterial,0.95,1.0,101.2,0.18,18.1,0.07,0.22,0
syn-road-0008,arterial,1.99,1.1,97.4,0.38,10.1,0.49,0.44,1
syn-road-0009,local,12.21,37.6,203.2,0.66,5.8,0.44,0.83,1
syn-road-0010,local,2.87,11.2,176.1,0.75,0.7,0.22,0.91,1
syn-road-0011,primary,13.03,20.3,79.4,0.43,8.5,0.87,0.41,0
syn-road-0012,primary,5.82,12.2,95.0,0.36,16.1,0.66,0.24,0
syn-road-0013,secondary,5.43,9.8,90.9,0.43,14.2,0.8,0.37,1
syn-road-0014,local,12.61,40.4,246.0,0.82,3.8,0.33,0.95,1
syn-road-0015,secondary,2.65,7.1,206.9,0.69,6.5,0.57,0.76,0
syn-road-0016,secondary,0.71,1.0,133.6,0.35,17.4,0.65,0.3,0
syn-road-0017,arterial,5.34,7.4,76.4,0.47,13.9,0.78,0.32,1
syn-road-0018,secondary,8.58,16.2,241.4,0.92,1.5,0.8,1.0,1
syn-road-0019,primary,4.35,4.7,222.9,0.61,11.5,0.12,0.54,1
syn-road-0020,arterial,9.47,10.7,66.5,0.33,14.8,0.91,0.21,0
syn-road-0021,local,10.38,36.0,110.4,0.52,5.6,0.55,0.52,0
syn-road-0022,secondary,5.83,10.5,209.6,0.83,0.9,0.94,0.72,1
syn-road-0023,local,7.76,27.9,209.7,0.55,12.3,0.79,0.72,1
syn-road-0024,local,5.16,18.8,150.3,0.35,17.5,0.38,0.38,0
syn-road-0025,local,7.46,25.3,157.2,0.33,17.8,0.66,0.44,0
syn-road-0026,arterial,10.08,12.1,88.8,0.41,17.2,0.81,0.28,0
syn-road-0027,arterial,4.27,3.2,225.2,0.44,14.2,0.17,0.71,0
syn-road-0028,primary,10.08,13.9,203.5,0.73,1.8,0.53,0.74,0
syn-road-0029,local,8.87,28.3,116.6,0.62,2.4,0.16,0.67,1
syn-road-0030,secondary,10.98,24.5,241.7,0.79,4.2,0.17,0.81,1
syn-road-0031,local,1.05,7.1,128.6,0.43,15.5,0.66,0.38,0
syn-road-0032,local,11.07,31.3,135.5,0.53,3.3,0.44,0.56,0
syn-road-0033,primary,5.86,8.7,233.1,0.66,7.0,0.13,0.94,1
syn-road-0034,secondary,3.76,8.0,122.9,0.72,-0.4,0.69,0.83,1
syn-road-0035,secondary,11.42,22.6,61.8,0.31,18.5,0.76,0.17,0
syn-road-0036,primary,12.59,21.7,109.7,0.35,12.9,0.5,0.44,0
syn-road-0037,arterial,11.25,13.2,168.2,0.59,9.4,0.18,0.5,0
syn-road-0038,local,3.29,11.8,171.0,0.66,-0.5,0.16,0.99,1
syn-road-0039,arterial,6.85,7.8,220.9,0.91,0.6,0.7,1.0,1
syn-road-0040,arterial,0.68,1.1,186.8,0.71,6.2,0.44,0.85,1
syn-road-0041,arterial,14.76,16.0,161.2,0.45,11.7,0.08,0.42,0
syn-road-0042,local,11.95,38.8,211.2,0.75,1.8,0.36,0.97,1
syn-road-0043,arterial,6.15,10.9,139.3,0.49,12.7,0.73,0.48,0
syn-road-0044,arterial,2.87,2.2,237.9,0.82,1.4,0.43,0.78,1
syn-road-0045,arterial,13.44,18.6,200.8,0.63,11.9,0.56,0.57,0
syn-road-0046,primary,5.8,11.0,242.0,0.96,4.1,0.85,0.74,1
syn-road-0047,primary,5.8,9.5,104.5,0.73,3.9,0.79,0.68,0
syn-road-0048,arterial,10.56,15.5,235.6,0.55,16.4,0.32,0.56,0
syn-road-0049,arterial,12.01,14.1,60.2,0.48,0.8,0.51,0.55,0
syn-road-0050,arterial,0.73,5.0,189.6,0.88,1.6,0.86,0.94,1
syn-road-0051,primary,11.9,19.5,67.5,0.15,18.0,0.25,0.18,0
syn-road-0052,local,4.71,16.6,207.0,0.78,3.0,0.32,0.88,1
syn-road-0053,primary,11.8,18.7,240.7,0.72,1.9,0.15,0.87,1
syn-road-0054,arterial,0.85,5.7,139.1,0.3,17.7,0.06,0.28,0
syn-road-0055,secondary,14.48,28.1,126.0,0.64,6.8,0.93,0.63,0
syn-road-0056,secondary,6.25,13.2,88.0,0.56,5.8,0.8,0.53,0
syn-road-0057,arterial,6.63,8.0,117.1,0.35,13.7,0.25,0.39,0
syn-road-0058,arterial,4.13,4.3,215.4,0.41,16.7,0.17,0.56,0
syn-road-0059,primary,9.79,16.6,157.1,0.82,-0.6,0.47,0.79,0
syn-road-0060,arterial,14.33,20.9,113.8,0.53,6.4,0.62,0.56,0
syn-road-0061,secondary,9.81,17.7,174.8,0.5,17.6,0.99,0.33,0
syn-road-0062,secondary,7.74,16.8,157.3,0.74,1.8,0.34,0.66,0
syn-road-0063,arterial,7.46,12.3,55.7,0.16,13.4,0.03,0.25,0
syn-road-0064,primary,14.77,24.7,186.6,0.44,17.2,0.27,0.43,1
syn-road-0065,primary,10.06,16.6,63.8,0.35,18.1,0.79,0.21,1
syn-road-0066,arterial,5.24,9.9,235.5,0.83,4.4,0.43,0.94,1
syn-road-0067,secondary,10.04,24.5,114.4,0.44,6.7,0.42,0.61,0
syn-road-0068,primary,2.9,8.5,179.2,0.5,8.0,0.03,0.7,1
syn-road-0069,primary,7.78,12.3,100.4,0.41,12.3,0.08,0.33,0
syn-road-0070,primary,7.88,10.8,222.7,0.72,2.4,0.07,0.77,1
syn-road-0071,primary,4.43,7.4,177.8,0.42,20.0,0.64,0.29,0
syn-road-0072,primary,6.31,9.4,148.7,0.66,9.3,0.72,0.65,1
syn-road-0073,arterial,6.52,8.3,228.0,0.59,15.3,0.53,0.65,1
