segment_id,highway,log_length_meters,oneway,sinuosity,bearing_sin,bearing_cos,vertex_count,prior_exposure_count,prior_exposure_frequency,prior_observed_events,years_since_prior_positive
osm-29938988-6552109327-0,primary,3.709931300810548,1.0,1.0000090733996163,0.9978294762745235,0.06585086391012848,3.0,0.0,0.0,0.0,99.0
osm-29939141-8500012435-0,secondary,4.09194167760579,1.0,1.0,0.9656689033598045,0.2597759978979441,2.0,0.0,0.0,0.0,99.0
osm-29939142-2032872437-0,secondary,4.469545174701261,1.0,1.0,0.9674984165896092,0.252877072698572,2.0,0.0,0.0,0.0,99.0
osm-29939143-5674017477-0,secondary,2.533379303238778,1.0,1.000275474250165,0.945989924851305,0.32419602415795046,3.0,0.0,0.0,0.0,99.0
osm-29939144-9013899871-0,secondary,4.297462261327303,1.0,1.0000261672988733,0.947249158818192,0.32049809846273264,3.0,0.0,0.0,0.0,99.0
osm-29939146-1173954328-0,secondary,3.2786153492190593,1.0,1.0,0.9644454053836398,0.26428215988671416,2.0,0.0,0.0,0.0,99.0
osm-29939148-1173954346-0,secondary,2.5690946002130257,1.0,1.0000000272269762,0.9501500334960884,0.31179306253889305,3.0,0.0,0.0,0.0,99.0
osm-29939154-7120383659-0,primary,2.143823800609104,1.0,1.000002424738711,0.21868653692159196,-0.9757951621981128,3.0,0.0,0.0,0.0,99.0
osm-29939156-318538221-0,secondary,5.387248150297391,1.0,1.0000117390262613,0.9597211860854468,0.2809541688225026,5.0,0.0,0.0,0.0,99.0
osm-29939156-2363808979-0,primary,2.5253285642869154,1.0,1.0,0.2779527146197694,-0.9605947576556417,2.0,0.0,0.0,0.0,99.0
osm-29939211-7120318185-0,primary,3.3197703829664262,1.0,1.0000204141611229,0.20905235853200457,-0.9779044490093121,3.0,0.0,0.0,0.0,99.0
osm-95006360-5492419263-0,trunk,4.119248534588242,1.0,1.0000030502710773,-0.9628267653097551,0.2701196401655272,3.0,0.0,0.0,0.0,99.0
osm-95006366-5492419187-0,trunk,3.8568062347902154,1.0,1.0,-0.9596656724511587,0.2811437303566722,2.0,0.0,0.0,0.0,99.0
osm-95010735-1133343805-0,trunk,4.449883861560539,1.0,1.0005875785154776,0.2623298420716935,0.9649782660550653,6.0,0.0,0.0,0.0,99.0
osm-95010751-13798957263-0,trunk,4.551463455288837,1.0,1.0002495667903206,-0.11496438628335247,0.9933696139335509,5.0,0.0,0.0,0.0,99.0
osm-95022384-95022385-0,trunk,4.208892741738921,1.0,1.0,-0.1559259022056356,-0.9877687548314932,2.0,0.0,0.0,0.0,99.0
osm-95022385-4152867689-0,trunk,4.37842013907977,1.0,1.0000544105695282,-0.07190486313803615,-0.9974114951498706,4.0,0.0,0.0,0.0,99.0
osm-95022385-5652800252-0,primary,4.108773298874222,1.0,1.0006198826912773,-0.9999665697468003,0.008176759065634224,4.0,0.0,0.0,0.0,99.0
osm-103363767-1757800816-0,trunk,3.3900016089014207,1.0,1.0,-0.17971137025399056,0.9837193824467592,2.0,0.0,0.0,0.0,99.0
osm-104356356-13456652649-0,trunk,4.306346273117466,1.0,1.0000001260522255,0.1371839105801217,-0.9905455944467904,3.0,0.0,0.0,0.0,99.0
osm-104356359-9491482902-0,trunk,3.4394240111343497,1.0,1.0,0.38327023690597384,-0.9236362517257747,2.0,0.0,0.0,0.0,99.0
osm-104363249-4886801320-0,primary,3.286048373906415,1.0,1.0002989795690493,0.936240120308289,-0.35136083607186586,4.0,0.0,0.0,0.0,99.0
osm-104364332-6359768001-0,primary,2.3335991465232153,1.0,1.0,0.8936226989433672,0.4488189745690037,2.0,0.0,0.0,0.0,99.0
osm-104364332-6359768003-0,secondary,4.148848530209905,1.0,1.0006423407655531,-0.23770217635736243,0.9713380849915098,4.0,0.0,0.0,0.0,99.0
osm-104364334-318097259-0,primary,5.005133520390502,1.0,1.0001623798480854,0.9854962275361451,0.16969733501745574,4.0,0.0,0.0,0.0,99.0
osm-104364335-13623841217-0,primary,4.108510417695,1.0,1.0000000247040324,0.9886703920870337,0.15010281746346782,3.0,0.0,0.0,0.0,99.0
osm-104366006-8796979647-0,secondary,4.974690276655505,1.0,1.0001074090613202,0.9969650560037264,0.07785035072166688,3.0,0.0,0.0,0.0,99.0
osm-104366013-191505885-0,secondary,3.508436132331754,1.0,1.0000000006289804,0.9855203171154581,0.16955737834917997,3.0,0.0,0.0,0.0,99.0
osm-104367576-13720920968-0,primary,2.9928782045710847,1.0,1.0,0.23460968680897776,-0.9720896537127599,2.0,0.0,0.0,0.0,99.0
osm-104367971-5006647254-0,primary,4.387884444158042,1.0,1.0017938036974245,0.7996300566127824,0.6004929413085872,10.0,0.0,0.0,0.0,99.0
osm-104369586-8992056526-0,primary,2.7743371927738982,1.0,1.0,0.9526366971546643,0.30411070884507263,2.0,0.0,0.0,0.0,99.0
osm-104379008-9619896326-0,primary,4.021773869387265,1.0,1.0,-0.022995457268183195,-0.9997355695107718,2.0,0.0,0.0,0.0,99.0
osm-104379010-13016877290-0,primary,3.7585221144423846,1.0,1.0,-0.03879487730216125,-0.9992471953901648,2.0,0.0,0.0,0.0,99.0
osm-104379014-4780597176-0,primary,3.516429017115245,1.0,1.0010031769213144,-0.307926924134966,-0.9514100111901171,3.0,0.0,0.0,0.0,99.0
osm-104379022-2872136862-0,primary,3.91792555108076,1.0,1.0,0.13453884191308585,-0.9909083206920233,2.0,0.0,0.0,0.0,99.0
osm-104379024-5379957272-0,primary,4.150283714546209,1.0,1.0,0.4177078950363678,-0.9085813746848912,2.0,0.0,0.0,0.0,99.0
osm-124093320-315207989-0,primary,3.1196740827481686,1.0,1.0000000486121194,0.755038333435314,-0.6556806501973529,3.0,0.0,0.0,0.0,99.0
osm-186669834-13699094545-0,primary,2.7140985396364132,1.0,1.0002695814109683,0.995042061758858,0.0994549914819814,3.0,0.0,0.0,0.0,99.0
osm-186849138-1663918523-0,secondary,3.1710292154109814,1.0,1.0001371589732437,0.9999941874950357,-0.0034095419257485792,3.0,0.0,0.0,0.0,99.0
osm-186871952-5671317482-0,primary,4.026939714871389,1.0,1.0014407862441825,0.9999918279905029,-0.004042765416457788,4.0,0.0,0.0,0.0,99.0
osm-186871954-7249176145-0,primary,1.9624862883171341,1.0,1.0,0.9235143115526001,-0.3835639664482668,2.0,0.0,0.0,0.0,99.0
osm-186894208-104364334-0,primary,3.5036035374935453,1.0,1.0000075667962205,0.9945589884042273,0.1041749422095359,5.0,0.0,0.0,0.0,99.0
osm-191505875-7595258503-0,secondary,6.067911567269073,1.0,1.0002026486009414,0.8571501470144884,0.5150666223635937,10.0,0.0,0.0,0.0,99.0
osm-191505885-13717294231-0,secondary,3.3892597440891126,1.0,1.0,0.9641034386095155,0.2655269471471929,2.0,0.0,0.0,0.0,99.0
osm-191505992-5372018440-0,secondary,2.0980179272527715,1.0,1.0,0.9756607997083462,-0.21928521134009568,2.0,0.0,0.0,0.0,99.0
osm-191506029-5009351128-0,secondary,3.031871320169864,1.0,1.0,0.9808154405971395,-0.19493863518102053,2.0,0.0,0.0,0.0,99.0
osm-191578995-8992744188-0,primary,4.089549752137167,1.0,1.0000034339080845,0.9979246585119365,0.0643923592814783,4.0,0.0,0.0,0.0,99.0
osm-302230529-8789425687-0,primary,3.8932682289444984,1.0,1.0,-0.007588349313154644,0.999971208062863,2.0,0.0,0.0,0.0,99.0
osm-302230530-7509918738-0,primary,2.1861636299767944,1.0,1.0,0.14549952280459,0.9893583217740863,2.0,0.0,0.0,0.0,99.0
osm-308981968-11925112167-0,tertiary,3.4102231928694677,0.0,1.0,0.9890218118709679,-0.1477696032459573,2.0,0.0,0.0,0.0,99.0
osm-308981969-8488635421-0,tertiary,4.097489611366173,0.0,1.0000038511051712,0.9980412525677816,0.06255923731099552,3.0,0.0,0.0,0.0,99.0
osm-308981972-13456437803-0,tertiary,3.5825462433193196,0.0,1.0,-0.9983784718345607,0.05692474837262986,2.0,0.0,0.0,0.0,99.0
osm-309086906-3723634710-0,motorway,6.350049415978362,1.0,1.0000499574108372,0.23185302111650163,-0.9727508296573953,5.0,0.0,0.0,0.0,99.0
osm-309687605-5388328959-0,tertiary,4.3302332152446485,0.0,1.0,-0.26469383641901606,0.964332501247253,2.0,0.0,0.0,0.0,99.0
osm-309712345-13102843717-0,trunk,2.482821143296979,1.0,1.0000642461408304,0.5549961230961119,-0.8318529337258391,3.0,0.0,0.0,0.0,99.0
osm-309714207-388240367-0,trunk,3.1047211985658207,1.0,1.0,0.6859799230057927,-0.7276204678491162,2.0,0.0,0.0,0.0,99.0
osm-309716308-9465024317-0,motorway,7.217795534044585,1.0,1.0000142841432833,-0.5607271267458807,0.8280006578085003,7.0,0.0,0.0,0.0,99.0
osm-309824120-309716308-0,motorway,7.074088873385289,1.0,1.0004627065745626,-0.5660389205090611,0.8243785177143669,10.0,0.0,0.0,0.0,99.0
osm-309824174-5671045991-0,motorway,7.384352746018684,1.0,1.0085277959941699,-0.528083390913415,0.8491925177728483,18.0,0.0,0.0,0.0,99.0
osm-309825163-3723599608-0,motorway,4.636872320718605,1.0,1.0000139858814294,0.638366716151951,-0.7697323792782622,3.0,0.0,0.0,0.0,99.0
osm-309880841-6797982811-0,motorway_link,5.4241170715593015,1.0,1.0018854058684799,0.6155681236215659,-0.7880836790474883,7.0,0.0,0.0,0.0,99.0
osm-309941624-8478023954-0,primary,4.8071227867311945,1.0,1.0003888521189463,0.2475427051740556,-0.968876983478868,5.0,0.0,0.0,0.0,99.0
osm-309941703-11919728419-0,primary,3.7213224426033045,1.0,1.0,0.23661281693513397,-0.9716040216374265,2.0,0.0,0.0,0.0,99.0
osm-309950695-4867479520-0,primary,3.373517812555413,1.0,1.0,0.1733786069821499,-0.9848552475571876,2.0,0.0,0.0,0.0,99.0
osm-310003265-5379992807-0,tertiary,4.047899146979133,0.0,1.0,-0.08897896715587696,0.9960335051612839,2.0,0.0,0.0,0.0,99.0
osm-310003828-352961150-0,tertiary,4.195154740781109,1.0,1.0001419405365466,-0.9977505910725534,-0.06703549816604995,3.0,0.0,0.0,0.0,99.0
osm-310005821-8811305451-0,primary,4.407292253796356,1.0,1.0012261185898257,0.4554223856653074,-0.8902754914266258,6.0,0.0,0.0,0.0,99.0
osm-310008087-317756351-0,primary,2.9544935255373934,1.0,1.0,0.8002949242965621,0.5996065661291242,2.0,0.0,0.0,0.0,99.0
osm-310042746-5377177693-0,primary,4.071723968184567,1.0,1.0002022240279653,0.6656099745585721,0.7462997800938556,4.0,0.0,0.0,0.0,99.0
osm-310047835-9645211400-0,trunk,2.7107798056730763,1.0,1.0,0.1362007004646793,-0.9906812651872098,2.0,0.0,0.0,0.0,99.0
osm-310048098-309825163-0,motorway,7.282954975258992,1.0,1.0096172145880917,0.4628889228220783,-0.8864162933569171,27.0,0.0,0.0,0.0,99.0
osm-310048835-5023930574-0,trunk,3.3195533926216454,1.0,1.0013465761467544,0.47813289551018406,-0.8782875008965159,3.0,0.0,0.0,0.0,99.0
osm-310048835-6451500598-0,primary,2.8491445887111473,1.0,1.0,0.8865606789435582,0.4626123242534047,2.0,0.0,0.0,0.0,99.0
osm-310052525-1757800787-0,motorway_link,6.746748147318392,1.0,1.6298482863709647,0.6464695249573662,-0.7629398097500203,38.0,0.0,0.0,0.0,99.0
osm-310080557-9648055038-0,trunk,3.1490111448952147,1.0,1.0,0.337396685507022,-0.9413625638450234,2.0,0.0,0.0,0.0,99.0
osm-310327453-6978547983-0,trunk,4.9912077964301576,1.0,1.000079312389521,-0.21185645755852733,-0.9773007937123309,5.0,0.0,0.0,0.0,99.0
osm-310327514-7576918586-0,motorway,7.818033974729815,1.0,1.0108352131610143,0.41503667779669834,0.9098046801833235,30.0,0.0,0.0,0.0,99.0
osm-310327514-9498062303-0,motorway_link,6.186550129366871,1.0,1.0049784659653551,0.18880605789003024,0.9820143952631379,14.0,0.0,0.0,0.0,99.0
osm-315198778-13033996655-0,primary,2.427454075039915,1.0,1.0000616609100825,0.42917373296438266,-0.903221958841467,3.0,0.0,0.0,0.0,99.0
osm-315207989-5668256808-0,primary,3.225454140228323,1.0,1.0000019138657517,0.7456738143468107,-0.6663111604929622,3.0,0.0,0.0,0.0,99.0
osm-315207989-13525649841-0,primary,3.239932567393811,1.0,1.0013017787160223,-0.7521480360681465,-0.6589941819461156,4.0,0.0,0.0,0.0,99.0
osm-315208899-324851729-0,trunk,5.918611556366326,1.0,1.0001560278202304,-0.17775616606322764,-0.9840745629404828,7.0,0.0,0.0,0.0,99.0
osm-315305416-13456804471-0,tertiary,1.166582415107377,0.0,1.0,-0.9949284540324407,-0.10058514481083963,2.0,0.0,0.0,0.0,99.0
osm-315469600-9031322607-0,primary,2.817860800433648,1.0,1.0,0.9979318447618644,0.0642808930412635,2.0,0.0,0.0,0.0,99.0
osm-315469626-9032054232-0,primary,2.9595868269176377,1.0,1.0,0.9979212638418189,0.0644449468333,2.0,0.0,0.0,0.0,99.0
osm-315480467-9679167895-0,primary,2.927185731018881,1.0,1.0,0.9288115796337905,0.3705523573507298,2.0,0.0,0.0,0.0,99.0
osm-315487156-5230379695-0,primary,4.3528938666668635,1.0,1.000940403812677,0.876391323485734,0.4815996762030924,3.0,0.0,0.0,0.0,99.0
osm-315546959-7098183581-0,secondary,3.7452834167604747,1.0,1.0026453465672451,0.8329233795690711,0.5533883299882978,4.0,0.0,0.0,0.0,99.0
osm-315547395-315546959-0,secondary,3.6504244477323873,1.0,1.0010310401061835,0.7595005511297788,0.6505066585620491,4.0,0.0,0.0,0.0,99.0
osm-315684305-4269900330-0,secondary,3.461414077150703,1.0,1.0054493761466206,0.9630943460172543,0.2691640404467084,4.0,0.0,0.0,0.0,99.0
osm-315710860-29939156-0,secondary,2.9519371135543198,1.0,1.0000001614367604,0.8786669908679815,0.47743514654768204,4.0,0.0,0.0,0.0,99.0
osm-315712058-315712135-0,primary,3.8656858302197805,1.0,1.0,0.2682520457998374,-0.9633487633895639,2.0,0.0,0.0,0.0,99.0
osm-315712135-13606177748-0,primary,4.411221292953157,1.0,1.0000184113753379,0.2610054303854326,-0.9653373323917992,5.0,0.0,0.0,0.0,99.0
osm-315712497-5354213822-0,primary,3.395749234088429,1.0,1.0000004842236634,0.07514408270405418,-0.9971726865666579,3.0,0.0,0.0,0.0,99.0
osm-315746130-13721019303-0,primary,2.956367550031714,1.0,1.0,0.23835345331618712,-0.9711784755091354,2.0,0.0,0.0,0.0,99.0
osm-315746992-11199436896-0,primary,4.437804234517709,1.0,1.000001514076538,0.2482430301744754,-0.9686977846417295,5.0,0.0,0.0,0.0,99.0
osm-316167893-9013032089-0,residential,3.895852972265508,0.0,1.0013813945503687,-0.9986601368010862,0.05174873104179272,5.0,0.0,0.0,0.0,99.0
osm-316170709-329971830-0,primary,3.2313971054218724,1.0,1.0000001250245725,0.36825266144084934,-0.9297257538337481,3.0,0.0,0.0,0.0,99.0
osm-316176020-310052525-0,motorway_link,5.416762405254262,1.0,1.0063287639944576,0.5601387531525205,0.8283988032443913,11.0,0.0,0.0,0.0,99.0
osm-316176020-1757800817-0,motorway,5.7435094698834925,1.0,1.0003048419423242,0.6125489132672645,0.790432684581738,6.0,0.0,0.0,0.0,99.0
osm-316266442-3723635058-0,motorway_link,6.183235071469772,1.0,1.000273683002968,-0.003933059179997723,0.999992265492832,8.0,0.0,0.0,0.0,99.0
osm-316374560-4990059009-0,primary,5.120977381098046,1.0,1.0000000009415682,-0.9969478202981474,-0.07807076022924843,4.0,0.0,0.0,0.0,99.0
osm-316374561-4548266741-0,primary,3.4239368686316447,1.0,1.0000000694217615,-0.05510795760566652,0.9984804019150962,3.0,0.0,0.0,0.0,99.0
osm-316374585-4548266748-0,primary,4.770371015973628,1.0,1.0000021424352878,0.9962093821062602,0.08698774053545257,4.0,0.0,0.0,0.0,99.0
osm-316374594-430546287-0,primary,6.199697485686437,1.0,1.000037552797865,0.04936332606913464,0.998780887902543,12.0,0.0,0.0,0.0,99.0
osm-316374602-4836037554-0,primary,5.504017665051825,1.0,1.0000825289469548,0.04993069941790634,0.9987526847301281,7.0,0.0,0.0,0.0,99.0
osm-316374654-316374658-0,primary,4.069043848108803,1.0,1.0000409595835242,0.5246861510045547,-0.8512957435251427,3.0,0.0,0.0,0.0,99.0
osm-316374658-7120440781-0,primary,3.1179056575116673,1.0,1.0,0.4084398839716469,-0.9127852218245143,2.0,0.0,0.0,0.0,99.0
osm-316395244-4466384616-0,trunk,3.2303299749133165,1.0,1.0014608219197347,0.9827816416549554,-0.18477078996960217,4.0,0.0,0.0,0.0,99.0
osm-316395244-4466384617-0,trunk,3.769375904984303,1.0,1.0000277547390721,0.49335019239767475,0.8698307810494966,4.0,0.0,0.0,0.0,99.0
osm-316395267-316395268-0,trunk,3.2563642692791923,1.0,1.0,0.7872073255375082,-0.6166884356140333,2.0,0.0,0.0,0.0,99.0
osm-316395268-5388212558-0,trunk,3.745755883755633,1.0,1.0000162814554194,0.7396655550716494,-0.6729746404141457,3.0,0.0,0.0,0.0,99.0
osm-316412093-11329756328-0,primary,3.9692347511792563,1.0,1.0000306201885891,-0.9962344471675384,0.08670020920845058,4.0,0.0,0.0,0.0,99.0
osm-316412129-316412130-0,primary,4.983777839926373,1.0,1.0136056415315546,-0.9490967358976623,-0.31498473916747616,5.0,0.0,0.0,0.0,99.0
osm-316412130-6531806778-0,primary,4.629989619804604,1.0,1.0000867013827295,-0.9999878494104333,-0.004929607641239333,4.0,0.0,0.0,0.0,99.0
osm-316412131-316412145-0,primary,2.673389740838585,1.0,1.0,-0.9998202480311353,0.0189597369960394,2.0,0.0,0.0,0.0,99.0
osm-316412145-4504091329-0,primary,4.833173907517882,1.0,1.000000024250128,-0.9999904404219744,0.004372535267530547,4.0,0.0,0.0,0.0,99.0
osm-316412146-1320273025-0,primary,2.6486539911455536,1.0,1.0,-0.998992955714238,0.04486729803911314,2.0,0.0,0.0,0.0,99.0
osm-316486226-1782804903-0,motorway,7.205364167159122,1.0,1.0140506014467123,-0.9949375303284678,0.10049532697538423,19.0,0.0,0.0,0.0,99.0
osm-316486288-7120831201-0,trunk,2.242091712565083,1.0,1.0,-0.3560617344396145,-0.9344624343802449,2.0,0.0,0.0,0.0,99.0
osm-316486305-1139156749-0,trunk_link,3.7421832261362473,1.0,1.0116731740211962,-0.8538319430355489,0.5205487614548124,6.0,0.0,0.0,0.0,99.0
osm-316742986-329948880-0,trunk,6.392903226688019,1.0,1.0000119413506916,-0.046804751958909464,0.9989040570515594,7.0,0.0,0.0,0.0,99.0
osm-317156534-9507227664-0,primary,3.3612430661551227,1.0,1.0,0.511677079895666,-0.859177843004255,2.0,0.0,0.0,0.0,99.0
osm-317156584-11384905237-0,primary,5.7194195754356,1.0,1.0002803812418537,-0.9620957625373776,0.2727118327238882,8.0,0.0,0.0,0.0,99.0
osm-317156628-5653336499-0,primary,3.5276831789349297,1.0,1.0,-0.9975238979994068,-0.07032832231803315,2.0,0.0,0.0,0.0,99.0
osm-317156630-9027876825-0,primary,1.686028514595813,1.0,1.0,-0.9575657422841102,-0.28821493577516255,2.0,0.0,0.0,0.0,99.0
osm-317156632-317156630-0,primary,4.3040110376891425,1.0,1.0027557257609798,-0.9385800200973806,-0.3450616551777385,5.0,0.0,0.0,0.0,99.0
osm-317156649-317182651-0,primary,6.426871879087853,1.0,1.0064275922676287,-0.9999992840375356,0.0011966304426416668,12.0,0.0,0.0,0.0,99.0
osm-317157768-4871938615-0,primary,5.050387917042489,1.0,1.0026743379445353,0.4139504961781504,-0.9102993939984049,4.0,0.0,0.0,0.0,99.0
osm-317179522-5189841649-0,tertiary,3.161924448418062,1.0,1.0230545866356568,0.9800638130672076,-0.19868296936618826,6.0,0.0,0.0,0.0,99.0
osm-317180499-10092530702-0,primary,2.7845790500913337,1.0,1.0065781074582194,-0.9322871688708447,-0.3617189997204805,3.0,0.0,0.0,0.0,99.0
osm-317182284-317156632-0,primary,6.449036535219813,1.0,1.0324322233910956,-0.9943663092047834,-0.10599831658312864,25.0,0.0,0.0,0.0,99.0
osm-317182368-13618074118-0,primary,4.810614017345747,1.0,1.0005442439956778,-0.9634737184399782,0.26780290117069605,8.0,0.0,0.0,0.0,99.0
osm-317182380-5380240433-0,primary,5.553412970498935,1.0,1.0000044825335288,-0.974544796346555,0.224192863209005,5.0,0.0,0.0,0.0,99.0
osm-317182651-317182380-0,primary,4.488546478051554,1.0,1.0000504107230073,-0.9813027116855239,0.19247074592944702,3.0,0.0,0.0,0.0,99.0
osm-317190987-352913852-0,primary,4.502539274901132,1.0,1.0064286877912343,-0.9867686242680663,-0.16213476542712166,8.0,0.0,0.0,0.0,99.0
osm-317190987-6370527439-0,primary,6.712352130049289,1.0,1.0035830153450456,-0.9980644649570597,-0.06218781062216386,14.0,0.0,0.0,0.0,99.0
