segment_id,event_id,event_start,region_id,highway,log_length_meters,oneway,sinuosity,bearing_sin,bearing_cos,vertex_count,prior_exposure_count,prior_exposure_frequency,prior_observed_events,years_since_prior_positive,target,split
osm-gaul2-73705-10279663395-10279663399-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary_link,3.295392322765179,0.0,1.0467751621981298,-0.9919345371390063,-0.12675122891248594,5.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-10279663395-6134415254-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,4.940341576876256,1.0,1.0003582018139983,0.2224495663543499,0.9749441986230605,4.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-10279663399-10279663395-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary_link,3.295392322765179,0.0,1.0467751621981298,0.9919345371390063,0.12675122891248583,5.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-10279663399-3060893232-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,7.794599074357542,0.0,1.0149508555131979,-0.21306065202054136,0.977038974944491,45.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-10279663399-3060899458-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,3.789990955482348,0.0,1.0,0.378946700298719,-0.9254184990223141,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-11285257715-3060906959-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,secondary,2.8867541109842456,0.0,1.0,0.8783643939601783,0.47799162275396495,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-11285257715-3107886787-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.742561009245082,1.0,1.0015312283631614,-0.9793404603526854,0.20221835405370675,10.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-12088158459-2801677203-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,4.897197802870103,1.0,1.193128045635524,-0.6480514050703374,-0.7615965968847034,10.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-12088158459-7205528929-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk_link,3.3089358832358498,0.0,1.0,-0.9196294635920436,0.39278702841795865,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1274055442-3071608515-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,2.7327428136925818,1.0,1.0,0.03387865672292532,0.9994259535446587,2.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1274055442-544500659-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.2299635969815705,1.0,1.000077572259806,-0.9886801676094673,0.1500384156665076,6.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1274055540-3107886761-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,trunk,6.216556199640207,1.0,1.0023840150947914,-0.017440316700459913,-0.9998479061104182,7.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1299322339-3060069744-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.0330504720406735,0.0,1.025354229635194,-0.9914566838828346,-0.13043635990034758,70.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1299322339-3092195791-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.16136052577796,0.0,1.1198603060480226,-0.6323396767913848,0.7746912502122165,49.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1299322339-6133228917-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,7.510629223013584,0.0,1.0758217441329512,0.21669681596953258,-0.9762389512556168,70.0,0.0,0.0,0.0,99.0,0,train
osm-gaul2-73705-1299322339-6133925866-0,DFO_2106_From_20021215_to_20021220,2002-12-15,gaul2-73705,tertiary,6.817773677056701,0.0,1.2557612511312133,0.5285325197988419,0.8489130553331635,51.0,0.0,0.0,0.0,99.0,0,train
