method,parameter,scenario,minimum,p25,median,mean,p75,p90,p95,maximum,variance,low,medium,high,critical,staticSpearmanCorrelation,changedFromBaselineOdPaths
multiplicative_modulation,0.25,Q1,0.005397910447761193,0.057093283582089545,0.09321776119402984,0.11140268646153521,0.1354667910447761,0.1918541940298507,0.2755010447761187,0.6622820895522388,0.007922090916525248,1331,67,15,0,1.0,5
multiplicative_modulation,0.25,Q2,0.005801492537313433,0.061361940298507466,0.10018731343283584,0.11973185928108926,0.14559514925373135,0.2061984328358209,0.29609925373134255,0.7117985074626866,0.009150987192859329,1321,70,22,0,1.0,5
multiplicative_modulation,0.25,Q3,0.006040149253731343,0.06388619402985075,0.1043087313432836,0.12465728359265246,0.15158451492537314,0.21468084328358208,0.3082799253731336,0.7410798507462687,0.009919363654540575,1313,74,26,0,1.0,5
multiplicative_modulation,0.25,Q4,0.006150746268656716,0.06505597014925373,0.1062186567164179,0.126939797298011,0.15436007462686566,0.2186117164179104,0.31392462686567085,0.7546492537313433,0.010285942573609253,1307,75,30,1,1.0,5
multiplicative_modulation,0.5,Q1,0.0055958208955223885,0.05918656716417911,0.09663552238805971,0.11548718467112422,0.14043358208955226,0.1988883880597015,0.28560208955223815,0.6865641791044776,0.008513655701073921,1328,65,20,0,1.0,5
multiplicative_modulation,0.5,Q2,0.006402985074626866,0.06772388059701494,0.11057462686567165,0.1321455303102323,0.16069029850746272,0.22757686567164181,0.3267985074626858,0.7855970149253733,0.011146883203793926,1302,76,33,2,1.0,5
multiplicative_modulation,0.5,Q3,0.0068802985074626856,0.07277238805970149,0.11881746268656716,0.14199637893335867,0.17266902985074625,0.24454168656716416,0.35115985074626777,0.8441597014925373,0.012870725660510233,1278,97,32,6,1.0,5
multiplicative_modulation,0.5,Q4,0.0071014925373134325,0.07511194029850747,0.12263731343283583,0.1465614063440758,0.17822014925373136,0.2524034328358209,0.3624492537313424,0.8712985074626867,0.013711587570683371,1267,106,33,7,1.0,5
multiplicative_modulation,0.75,Q1,0.005793731343283582,0.061279850746268655,0.10005328358208955,0.11957168288071322,0.14540037313432835,0.20592258208955222,0.2957031343283575,0.7108462686567164,0.00912651932361199,1321,71,21,0,1.0,5
multiplicative_modulation,0.75,Q2,0.007004477611940298,0.07408582089552239,0.12096194029850746,0.1445592013393753,0.17578544776119404,0.24895529850746265,0.35749776119402893,0.8593955223880597,0.013339513002769773,1273,100,34,6,1.0,5
multiplicative_modulation,0.75,Q3,0.00772044776119403,0.08165858208955223,0.13332619402985074,0.15933547427406491,0.19375354477611942,0.27440252985074626,0.394039776119402,0.947239552238806,0.01620591098787496,1227,142,33,11,1.0,5
multiplicative_modulation,0.75,Q4,0.008052238805970148,0.08516791044776119,0.13905597014925375,0.16618301539014058,0.20208022388059702,0.2861951492537313,0.4109738805970139,0.9879477611940298,0.017628759961188324,1211,157,30,15,1.0,5
multiplicative_modulation,1.0,Q1,0.0059916417910447755,0.0633731343283582,0.1034710447761194,0.1236561810903022,0.15036716417910448,0.21295677611940295,0.3058041791044768,0.7351283582089552,0.009760681784139457,1315,72,26,0,1.0,5
multiplicative_modulation,1.0,Q2,0.007605970149253731,0.08044776119402985,0.1313492537313433,0.15697287236851837,0.19088059701492538,0.2703337313432836,0.3881970149253722,0.9331940298507463,0.015728876589786864,1237,133,34,9,1.0,5
multiplicative_modulation,1.0,Q3,0.008560597014925371,0.09054477611940298,0.14783492537313433,0.17663491998605696,0.21483805970149253,0.30426337313432833,0.43691970149253617,1.0,0.019857813969076172,1181,183,28,21,0.9999999989366024,5
multiplicative_modulation,1.0,Q4,0.009002985074626865,0.09522388059701493,0.15547462686567165,0.18564413178270012,0.22594029850746272,0.31998686567164175,0.45949850746268545,1.0,0.02176497720983551,1150,208,29,26,0.9999999627810816,5
multiplicative_modulation,1.5,Q1,0.006387462686567163,0.06755970149253732,0.11030656716417911,0.1318251775094802,0.16030074626865673,0.22702516417910446,0.3260062686567156,0.7836925373134328,0.011092903219162587,1304,74,33,2,1.0,5
multiplicative_modulation,1.5,Q2,0.008808955223880597,0.09317164179104477,0.15212388059701493,0.18171236598324722,0.22107089552238807,0.3130905970149253,0.44959552238805855,1.0,0.020948511109739602,1166,195,28,24,0.9999999957464093,5
multiplicative_modulation,1.5,Q3,0.01024089552238806,0.10831716417910447,0.1768523880597015,0.21049472631534474,0.25700708955223883,0.36398505970149253,0.5226795522388047,1.0,0.02700953306329157,1037,302,37,37,0.9999998245393722,6
multiplicative_modulation,1.5,Q4,0.010904477611940298,0.11533582089552238,0.18831194029850748,0.2235268931351734,0.273660447761194,0.38757029850746266,0.5565477611940285,1.0,0.02964467543840912,978,352,43,40,0.9999991322671395,6
logit_shift,0.25,Q1,0.005400635449775243,0.057011986261019006,0.09295979583916884,0.11072913548840987,0.13487968795969363,0.19062304413822687,0.27288593191020344,0.6467431399846371,0.007669144083192607,1335,65,13,0,1.0,5
logit_shift,0.25,Q2,0.005833941297281738,0.06133084969729752,0.09971388004472174,0.11796565682777893,0.14419531233595412,0.20288575937669365,0.2885534356565011,0.664266495410571,0.008343893016732055,1324,70,19,0,1.0,5
logit_shift,0.25,Q3,0.006106259410684832,0.06402683115016446,0.10391032574589365,0.12242612973789985,0.14995195318674504,0.2104093987775472,0.2980656738399136,0.6744235968123964,0.008760262412731215,1320,72,21,0,1.0,5
logit_shift,0.25,Q4,0.006236703642706764,0.06531328661040858,0.10590746272716337,0.12453968050167014,0.15268322303246065,0.21396467863244015,0.3025344320900079,0.6790762564587942,0.008957549908199544,1316,76,21,0,1.0,5
logit_shift,0.5,Q1,0.005608968518163141,0.05909297166092286,0.09621902206626501,0.11423023166068876,0.13938279969297399,0.19656435895206567,0.28050238330410465,0.6553891731570348,0.00799540158449086,1329,69,15,0,1.0,5
logit_shift,0.5,Q2,0.006544659064204493,0.06833772294724814,0.11058926778864311,0.1294717786547112,0.15906494928780168,0.22223598756628604,0.31286645604153945,0.6895544958952065,0.009417674173422754,1306,83,24,0,1.0,5
logit_shift,0.5,Q3,0.007169324038871469,0.074418514320093,0.11994563854634514,0.139237684775366,0.17173070173882793,0.23850518713654625,0.3329296426159906,0.7088547590553329,0.010326343218915766,1288,94,31,0,1.0,5
logit_shift,0.5,Q4,0.007478537061937214,0.07740206304225929,0.12450890526258093,0.14395910135242013,0.17786592334072174,0.2463165422139092,0.3424424832704765,0.7175549908653204,0.010763826856953217,1274,105,34,0,1.0,5
logit_shift,0.75,Q1,0.005825291102180978,0.061244981491089284,0.09957997347073196,0.11782288373673179,0.14401122651096815,0.20264448865494716,0.2882471387905878,0.6639335533683361,0.008330568279186622,1324,70,19,0,1.0,5
