conditionId,rainfallScenario,temporalHazardScore,relativeHazardIndex,roadRiskMedian,roadRiskP90,roadRiskP95,low,medium,high,critical,routesChangedVsQ1,affectedSuppliers,affectedWarehouses,affectedOrders,solverStatus,prodA,prodB,ordersFulfilled,onTimeDelivery,failedOrders,averageDelay,salesExposureRisk,bindingClassification,optimizerIntegrityPassed
normal,Q1,0.14393991896426608,0.15223880597014924,0.11029599911187873,0.22172045385046985,0.31222510208749665,1306,83,24,0,0,0,2,20,ready,320,180,20.0,0.8,0.0,0.6,0.0,NON_BINDING,True
normal,Q2,0.250166672988461,0.4626865671641791,0.1649224089372925,0.3121693431641902,0.41968113576883403,1144,225,42,2,0,0,2,20,ready,320,180,20.0,0.8,0.0,0.6,0.0,PARTIALLY_BINDING,True
normal,Q3,0.2525212779653498,0.6462686567164179,0.20641427171080726,0.3741102264782784,0.48782238426407226,923,425,58,7,6,0,2,20,ready,320,180,20.0,0.8,0.0,1.8,0.0,BINDING,True
normal,Q4,0.2950839237115458,0.7313432835820896,0.22810113103664562,0.4044368334228014,0.5197114840198687,817,519,66,11,9,1,2,20,ready,320,180,20.0,0.8,0.0,1.8,0.0,BINDING,True
limited-vehicle,Q1,0.14393991896426608,0.15223880597014924,0.11029599911187873,0.22172045385046985,0.31222510208749665,1306,83,24,0,0,0,2,20,ready,320,180,20.0,0.8,0.0,0.6,0.0,NON_BINDING,True
limited-vehicle,Q2,0.250166672988461,0.4626865671641791,0.1649224089372925,0.3121693431641902,0.41968113576883403,1144,225,42,2,0,0,2,20,ready,320,180,20.0,0.8,0.0,0.6,0.0,PARTIALLY_BINDING,True
limited-vehicle,Q3,0.2525212779653498,0.6462686567164179,0.20641427171080726,0.3741102264782784,0.48782238426407226,923,425,58,7,6,0,2,20,ready,320,180,20.0,0.8,0.0,1.8,0.0,BINDING,True
limited-vehicle,Q4,0.2950839237115458,0.7313432835820896,0.22810113103664562,0.4044368334228014,0.5197114840198687,817,519,66,11,9,1,2,20,ready,320,180,20.0,0.8,0.0,1.8,0.0,BINDING,True
critical-stock,Q1,0.14393991896426608,0.15223880597014924,0.11029599911187873,0.22172045385046985,0.31222510208749665,1306,83,24,0,0,0,2,20,partial,450,50,14.0,0.5,6.0,3.6,50000000.0,NON_BINDING,True
critical-stock,Q2,0.250166672988461,0.4626865671641791,0.1649224089372925,0.3121693431641902,0.41968113576883403,1144,225,42,2,0,0,2,20,partial,450,50,14.0,0.5,6.0,3.0,50000000.0,BINDING,True
critical-stock,Q3,0.2525212779653498,0.6462686567164179,0.20641427171080726,0.3741102264782784,0.48782238426407226,923,425,58,7,6,0,2,20,partial,330,170,11.0,0.45,8.0,1.5,62800000.0,BINDING,True
critical-stock,Q4,0.2950839237115458,0.7313432835820896,0.22810113103664562,0.4044368334228014,0.5197114840198687,817,519,66,11,9,1,2,20,partial,330,170,11.0,0.45,8.0,1.5,62800000.0,BINDING,True
severe-disruption,Q1,0.14393991896426608,0.15223880597014924,0.11029599911187873,0.22172045385046985,0.31222510208749665,1306,83,24,0,0,0,2,20,partial,140,0,5.0,0.2,14.0,1.5,105200000.0,NON_BINDING,True
severe-disruption,Q2,0.250166672988461,0.4626865671641791,0.1649224089372925,0.3121693431641902,0.41968113576883403,1144,225,42,2,0,0,2,20,partial,140,0,5.0,0.2,14.0,1.5,105200000.0,PARTIALLY_BINDING,True
severe-disruption,Q3,0.2525212779653498,0.6462686567164179,0.20641427171080726,0.3741102264782784,0.48782238426407226,923,425,58,7,6,0,2,20,partial,140,0,5.0,0.2,14.0,1.5,105200000.0,PARTIALLY_BINDING,True
severe-disruption,Q4,0.2950839237115458,0.7313432835820896,0.22810113103664562,0.4044368334228014,0.5197114840198687,817,519,66,11,9,1,2,20,partial,140,0,5.0,0.2,14.0,1.5,105200000.0,PARTIALLY_BINDING,True
